X,Y,objectid,iso
103.1856,1.9262,1,MYS
103.1377,3.302999999,2,MYS
111.5589,-2.1306,3,IDN
115.5093,-1.9906,4,IDN
111.3204,1.623599999,39,MYS
110.8221,1.1158,40,MYS
103.3181,4.5733,114,MYS
117.8875,4.2633,115,MYS
116.7083,6.571700001,116,MYS
118.1867,4.4695,117,MYS
102.4094,2.5336,120,MYS
118.4377,4.4892,121,MYS
118.0422,5.8857,122,MYS
-76.4911,-8.3353,152,PER
98.9471,3.5682,190,IDN
98.5941,3.7619,191,IDN
99.2121,3.276,192,IDN
102.312,3.2131,193,MYS
102.077,4.2931,194,MYS
70.1575,23.1012,228,IND
-74.2152,10.6718,229,COL
118.5281,5.4141,232,MYS
105.4428,-4.1364,235,IDN
105.5883,-4.2183,236,IDN
116.0219,-3.1981,237,IDN
102.4858,-2.0722,238,IDN
102.3744,-2.1008,239,IDN
117.8277,5.7181,266,MYS
101.1405,0.9562999999,304,IDN
118.2035,4.667,305,MYS
100.4944,1.1402,306,IDN
102.6799,2.0094,342,MYS
113.6583,3.7619,379,MYS
103.468,1.565500001,380,MYS
103.4385,2.3423,381,MYS
117.391,6.6483,382,MYS
100.7812,4.151200001,384,MYS
118.2228,4.4554,385,MYS
117.8346,5.6598,282,MYS
100.5912,1.75,417,IDN
100.7238,0.9595000003,418,IDN
100.699,0.8922000002,419,IDN
100.1468,2.0631,455,IDN
100.045,2.039899999,456,IDN
100.1614,1.851100001,457,IDN
98.1363,4.0532,493,IDN
98.431,3.6532,531,IDN
101.6486,-1.320099999,569,IDN
100.9173,-2.1842,570,IDN
102.2347,-1.6843,571,IDN
101.5757,-1.2503,572,IDN
101.7423,-0.9972000005,573,IDN
96.4743,4.0489,606,IDN
99.7237,1.4283,607,IDN
99.0178,3.3675,608,IDN
109.1754,0.2997999997,609,IDN
103.0382,2.2709,645,MYS
-48.7049,-2.5428,646,BRA
101.9937,2.4685,647,MYS
102.1047,4.2407,650,MYS
97.9394,4.181799999,651,IDN
97.3698,4.936900001,652,IDN
101.6394,0.4660999995,675,IDN
102.0044,4.8365,686,MYS
102.4584,3.2873,687,MYS
102.6972,2.084599999,688,MYS
103.5253,1.5139,689,MYS
102.5066,2.4988,690,MYS
103.1234,2.1574,691,MYS
103.6564,2.3682,725,MYS
103.5351,2.7213,726,MYS
-73.2351,10.0977,727,COL
-48.752736,-2.250828001,785,BRA
101.3552,3.145600001,765,MYS
96.1615,4.4574,766,IDN
102.6795,2.6116,767,MYS
103.6594,2.4101,768,MYS
116.9442,6.672800001,769,MYS
102.3876,2.8046,770,MYS
113.7666,3.449499999,771,MYS
100.7459,5.6064,772,MYS
103.8852,1.4862,773,MYS
102.488,2.485000001,774,MYS
101.7925,3.9865,775,MYS
101.5117,2.8637,776,MYS
103.2041,4.118699999,777,MYS
101.17,3.986999999,778,MYS
99.3007,3.315,779,IDN
-73.1115,3.0356,780,COL
97.9609,4.088500001,781,IDN
-87.0651,15.6887,782,HND
103.65,1.733333,873,MYS
118.0886,4.7553,19,MYS
118.37,5.4935,20,MYS
103.3923,2.110999999,21,MYS
113.0408,3.1809,24,MYS
112.334,-2.3206,64,IDN
100.6284,5.1936,71,MYS